,PT,frequency,pdf,cdf
0,4.0,1,0.023255813953488372,0.023255813953488372
1,5.0,2,0.046511627906976744,0.06976744186046512
2,6.0,3,0.06976744186046512,0.13953488372093023
3,7.0,1,0.023255813953488372,0.16279069767441862
4,8.0,2,0.046511627906976744,0.20930232558139536
5,9.0,3,0.06976744186046512,0.27906976744186046
6,10.0,1,0.023255813953488372,0.3023255813953488
7,11.0,1,0.023255813953488372,0.3255813953488372
8,13.0,1,0.023255813953488372,0.34883720930232553
9,14.0,2,0.046511627906976744,0.39534883720930225
10,15.0,1,0.023255813953488372,0.4186046511627906
11,19.0,1,0.023255813953488372,0.44186046511627897
12,20.0,2,0.046511627906976744,0.4883720930232557
13,21.0,1,0.023255813953488372,0.5116279069767441
14,23.0,1,0.023255813953488372,0.5348837209302325
15,24.0,1,0.023255813953488372,0.5581395348837209
16,25.0,2,0.046511627906976744,0.6046511627906976
17,26.0,2,0.046511627906976744,0.6511627906976744
18,28.0,2,0.046511627906976744,0.6976744186046511
19,29.0,3,0.06976744186046512,0.7674418604651162
20,30.0,1,0.023255813953488372,0.7906976744186046
21,35.0,2,0.046511627906976744,0.8372093023255813
22,36.0,1,0.023255813953488372,0.8604651162790697
23,37.0,1,0.023255813953488372,0.8837209302325582
24,41.0,2,0.046511627906976744,0.9302325581395349
25,43.0,1,0.023255813953488372,0.9534883720930233
26,44.0,2,0.046511627906976744,1.0
