Average Waiting Time,Average Workload TPT,Workload TPT,pod_cpu_aeneas_function,pod_cpu_tocloud_function,pod_cpu_functions_all,pod_cpu_mosquitto_broker,pod_cpu_mosquitto_connector_aeneas,pod_cpu_mosquitto_connector_tocloud,workload_size,workload_type,Average FET,pod_count_aeneas,pod_count_getobject,pod_count_tocloud
11.38986,15.6,25.44831,0.1149347998005605,0.0051921568287393,0.1297848819745618,0.0353739316421061,0.2358968563639592,0.0226389427877411,5,5_1_k8s_hpa_only,4.21014,3,1,1
10.59272,14.8,25.21096,0.9157376310931334,0.0079761784465597,0.9373744417422828,0.0358106719639461,0.0,0.0227520545874938,5,5_2_k8s_hpa_only,4.20728,2,1,1
10.21784,14.4,24.318088,0.3144455372861526,0.0,0.3257106497506237,0.0208797904479432,0.1996270437046009,0.0168612223716942,5,5_5_k8s_hpa_only,4.1821600000000005,2,1,1
10.21784,14.4,24.318088,1.5724279282562734,0.0124362140323772,1.6000792808190096,0.0702839653569398,0.916629962117381,0.0198609062939625,5,5_5_k8s_hpa_only,4.1821600000000005,2,1,1
22.30722,26.5,49.31815,1.5724279282562734,0.0124362140323772,1.6000792808190096,0.0702839653569398,0.916629962117381,0.0198609062939625,10,10_1_k8s_hpa_only,4.19278,2,1,1
21.90747,26.1,50.735825,0.837848280049994,0.0140615522163857,0.8693222855348303,0.0413473755259941,0.5729966053020796,0.0120438795125697,10,10_1_k8s_hpa_only,4.1925300000000005,1,1,1
5.9749,15.6,19.203176,0.7653792530120481,0.0042468228421439,0.7814456275898217,0.0233115415022926,0.348302477776531,0.0242290893887598,5,5_1_async_k8s_hpa_only,9.6251,1,1,1
5.7561,15.8,19.643197,0.0017513431467177,0.0041920957042124,0.0135359148822415,0.031371943576464,0.0264186037132134,0.0119418131541115,5,5_2_async_k8s_hpa_only,10.0439,2,1,1
6.485200000000001,15.4,18.970811,0.9553713954257022,0.0033732088669242,0.9660126049765592,0.0334676016865632,0.0791797815976974,0.0244626406849466,5,5_5_async_k8s_hpa_only,8.9148,4,1,1
23.231510000000004,27.5,50.422967,0.7381203172691183,0.0071113881299208,0.7533959042792014,0.0546557643770007,0.3955171633026317,0.0209100953204709,10,10_5_async_k8s_hpa_only,4.26849,1,1,1
21.044949999999996,25.3,46.449246,1.0596175137251227,0.007264353776717335,1.0854384158216468,0.03073759941731377,0.24374646575560127,0.02873387088190248,10,10_5_async_k8s_hpa_only,4.255050000000001,5,1,1
