scenario,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time
1_1_syncrnous_sdp_1s.csv,2022-09-15 13:38:36.597129,2022-09-15 13:38:42.715,5.853,0.0388,6,5.8918,0.1082
1_1_syncrnous_sdp_1s.csv,2022-09-15 13:38:36.604164,2022-09-15 13:38:49.519,5.945,0.0379,12,5.9829,6.0171
1_1_syncrnous_sdp_2s,2022-09-19 08:44:59.797850,2022-09-19 08:45:08.904000,7.877,0.0378,9,7.9148,1.0852000000000004
1_1_syncrnous_sdp_2s,2022-09-19 13:35:53.533100,2022-09-19 13:36:02.158000,7.647,0.0397,8,7.6867,0.3132999999999999
1_1_syncrnous_sdp_2s,2022-09-19 14:27:45.346218,2022-09-19 14:27:54.250000,7.931,0.0387,8,7.9697,0.0302999999999995
1_1_syncrnous_sdp_2s,2022-09-19 14:27:45.353051,2022-09-19 14:28:02.020000,7.591,0.0371,16,7.6281,8.3719
1_1_syncrnous_sdp_20s,2022-09-19 17:30:38.818123,2022-09-19 17:30:56.044000,7.968,0.0371,17,8.0051,8.9949
1_1_syncrnous_sdp_20s,2022-09-19 17:30:38.825432,2022-09-19 17:31:04.540000,7.816,0.039,25,7.855,17.145
1_1_syncrnous_sdp_20s,2022-09-19 17:30:49.345138,2022-09-19 17:31:12.553000,7.682,0.0385,23,7.7205,15.2795
1_1_syncrnous_sdp_20s,2022-09-19 17:30:49.639618,2022-09-19 17:31:12.590000,7.45,0.0346,22,7.4846,14.5154
1_1_syncrnous_sdp_30s,2022-09-19 17:54:08.846566,2022-09-19 17:54:17.259000,7.775,0.038,8,7.813000000000001,0.1869999999999994
1_1_syncrnous_sdp_30s,2022-09-19 17:54:08.853583,2022-09-19 17:54:47.081000,11.28,0.0329,38,11.3129,26.6871
1_1_syncrnous_sdp_30s,2022-09-19 17:54:19.270595,2022-09-19 17:54:52.486000,16.81,0.0383,33,16.8483,16.1517
1_1_syncrnous_sdp_30s,2022-09-19 17:54:20.888939,2022-09-19 17:54:52.562000,16.99,0.0369,31,17.026899999999998,13.973100000000002
1_1_syncrnous_sdp_30s,2022-09-19 17:54:30.872176,2022-09-19 17:54:52.603000,4.775,0.0365,21,4.8115000000000006,16.188499999999998
1_1_syncrnous_sdp_30s,2022-09-19 17:54:33.153800,2022-09-19 17:54:52.643000,13.49,0.0354,19,13.5254,5.474600000000001
1_1_syncrnous_sdp_30s,2022-09-20 10:29:48.829267,2022-09-20 10:30:06.908000,7.73,0.047,18,7.777,10.223
1_1_syncrnous_sdp_30s,2022-09-20 10:29:48.836155,2022-09-20 10:30:19.831000,7.9,0.056,30,7.956,22.044
1_1_syncrnous_sdp_30s,2022-09-20 10:29:57.815764,2022-09-20 10:30:29.833000,7.09,0.036,32,7.1259999999999994,24.874
1_1_syncrnous_sdp_30s,2022-09-20 10:30:03.509004,2022-09-20 10:30:29.886000,4.82,0.033,26,4.853000000000001,21.147
1_1_syncrnous_sdp_30s,2022-09-20 10:30:12.142135,2022-09-20 10:30:29.938000,4.67,0.031,17,4.701,12.299
1_1_syncrnous_sdp_30s,2022-09-20 10:30:12.812835,2022-09-20 10:30:29.994000,4.78,0.036,17,4.816,12.184
1_1_syncrnous_sdp_30s,2022-09-20 10:41:22.747518,2022-09-20 10:41:31.557000,7.77,0.0326,8,7.8026,0.1974
1_1_syncrnous_sdp_30s,2022-09-20 10:41:22.754720,2022-09-20 10:41:39.880000,7.93,0.0376,17,7.9676,9.0324
1_1_syncrnous_sdp_30s,2022-09-20 10:41:29.037890,2022-09-20 10:41:47.852000,7.55,0.0356,18,7.5856,10.4144
1_1_syncrnous_sdp_30s,2022-09-20 10:41:34.257854,2022-09-20 10:41:55.693000,7.72,0.0381,21,7.7581,13.2419
1_1_syncrnous_sdp_30s,2022-09-20 10:41:35.151976,2022-09-20 10:42:03.334000,7.54,0.0342,28,7.5742,20.4258
1_1_syncrnous_sdp_30s,2022-09-20 10:41:42.250982,2022-09-20 10:42:08.318000,4.87,0.0428,26,4.9128,21.0872
1_1_syncrnous_sdp_30s,2022-09-20 10:41:48.210390,2022-09-20 10:42:16.025000,7.6,0.0396,27,7.6396,19.3604
1_1_syncrnous_sdp_30s,2022-09-20 11:13:54.284010,2022-09-20 11:14:04.262000,7.98,0.0378,9,8.017800000000001,0.9821999999999989
1_1_syncrnous_sdp_30s,2022-09-20 11:13:54.291222,2022-09-20 11:14:11.788000,7.22,0.036,17,7.255999999999999,9.744
1_1_syncrnous_sdp_30s,2022-09-20 11:14:05.642351,2022-09-20 11:14:20.067000,7.87,0.0342,14,7.9042,6.0958
1_1_syncrnous_sdp_30s,2022-09-20 11:14:06.320828,2022-09-20 11:14:27.940000,7.38,0.0617,21,7.4417,13.5583
1_1_syncrnous_sdp_30s,2022-09-20 11:14:13.172270,2022-09-20 11:14:35.978000,7.74,0.0437,22,7.7837,14.2163
1_1_syncrnous_sdp_30s,2022-09-20 11:14:19.546230,2022-09-20 11:14:42.875000,6.53,0.037,23,6.567,16.433
1_1_syncrnous_sdp_30s,2022-09-20 11:14:21.402877,2022-09-20 11:14:47.966000,4.89,0.0362,26,4.9262,21.0738
1_1_syncrnous_sdp_30s,2022-09-23 12:23:19.534462,2022-09-23 12:23:26.028000,5.083,0.0404,6,5.1234,0.8765999999999998
1_1_syncrnous_sdp_30s,2022-09-23 12:23:19.541247,2022-09-23 12:23:28.379000,6.605,0.0420,8,6.647,1.3529999999999998
