,intime,outtime,TPT,aeneas,tocloud,FET,Waiting time,scenario
0,2023-01-07 17:16:54.453846,2023-01-07 17:16:58.760,4,4.2377,0.0414,4.279100000000001,-0.27910000000000057,2_0.1_k8s_k8s
1,2023-01-07 17:17:00.567469,2023-01-07 17:17:04.998,4,4.3668,0.0444,4.4112,-0.4112,2_0.1_k8s_k8s
2,2023-01-07 17:17:04.414894,2023-01-07 17:17:11.649,7,7.2053,0.0371,7.2424,-0.24239999999999995,2_0.1_k8s_k8s
3,2023-01-07 17:17:05.397987,2023-01-07 17:17:11.798,6,6.3380,0.0389,6.3769,-0.3769,2_0.1_k8s_k8s
4,2023-01-07 17:17:13.067843,2023-01-07 17:17:19.776,6,6.6532,0.0463,6.6995,-0.6994999999999996,2_0.1_k8s_k8s
5,2023-01-07 17:17:13.356692,2023-01-07 17:17:19.982,6,6.5698,0.0544,6.6242,-0.6242000000000001,2_0.1_k8s_k8s
6,2023-01-07 17:17:17.168106,2023-01-07 17:17:26.635,9,9.4100,0.0437,9.4537,-0.45369999999999955,2_0.1_k8s_k8s
7,2023-01-07 17:17:20.328335,2023-01-07 17:17:26.879,6,6.5487,0.0553,6.604,-0.6040000000000001,2_0.1_k8s_k8s
8,2023-01-07 17:17:22.722552,2023-01-07 17:17:36.570,13,13.772,0.0590,13.831,-0.8309999999999995,2_0.1_k8s_k8s
9,2023-01-07 17:17:23.955757,2023-01-07 17:17:36.822,12,12.642,0.0475,12.689499999999999,-0.6894999999999989,2_0.1_k8s_k8s
10,2023-01-07 17:17:24.112829,2023-01-07 17:17:36.902,12,12.874,0.0603,12.9343,-0.9343000000000004,2_0.1_k8s_k8s
11,2023-01-07 17:17:28.728948,2023-01-07 17:17:43.565,14,14.769,0.0444,14.8134,-0.8133999999999997,2_0.1_k8s_k8s
12,2023-01-07 17:17:30.252490,2023-01-07 17:17:49.604,19,19.301,0.1864,19.487399999999997,-0.4873999999999974,2_0.1_k8s_k8s
13,2023-01-07 17:17:34.952790,2023-01-07 17:17:50.037,15,14.987,0.2701,15.2571,-0.25709999999999944,2_0.1_k8s_k8s
14,2023-01-07 17:17:37.743766,2023-01-07 17:17:50.042,12,12.197,0.3801,12.5771,-0.5770999999999997,2_0.1_k8s_k8s
15,2023-01-07 17:17:43.973430,2023-01-07 17:17:51.195,7,7.1629,0.1240,7.286899999999999,-0.28689999999999927,2_0.1_k8s_k8s
16,2023-01-07 17:17:44.778339,2023-01-07 17:17:51.282,6,6.4378,0.0435,6.4813,-0.48130000000000006,2_0.1_k8s_k8s
17,2023-01-07 17:17:46.619157,2023-01-07 17:17:51.562,4,4.8783,0.0554,4.9337,-0.9337,2_0.1_k8s_k8s
18,2023-01-07 17:17:48.648101,2023-01-07 17:17:55.589,6,6.8800,0.0439,6.9239,-0.9238999999999997,2_0.1_k8s_k8s
19,2023-01-07 17:17:54.288385,2023-01-07 17:17:58.754,4,4.3974,0.0532,4.4506000000000006,-0.45060000000000056,2_0.1_k8s_k8s
20,2023-01-07 17:17:57.691095,2023-01-07 17:18:02.936,5,5.1827,0.0428,5.225499999999999,-0.22549999999999937,2_0.1_k8s_k8s
21,2023-01-07 17:18:01.726434,2023-01-07 17:18:06.069,4,4.2757,0.0376,4.3133,-0.3132999999999999,2_0.1_k8s_k8s
22,2023-01-07 17:18:06.526723,2023-01-07 17:18:11.752,5,5.1615,0.0357,5.1972000000000005,-0.19720000000000049,2_0.1_k8s_k8s
23,2023-01-07 17:18:08.312359,2023-01-07 17:18:14.053,5,4.2367,0.0466,4.2833,0.7167000000000003,2_0.1_k8s_k8s
24,2023-01-07 17:18:09.731439,2023-01-07 17:18:14.297,4,5.8971,0.0445,5.9416,-1.9416000000000002,2_0.1_k8s_k8s
25,2023-01-07 17:18:13.446053,2023-01-07 17:18:18.844,5,5.3398,0.0427,5.3825,-0.3825000000000003,2_0.1_k8s_k8s
26,2023-01-07 17:18:13.565503,2023-01-07 17:18:19.047,5,5.4304,0.0366,5.467,-0.46699999999999964,2_0.1_k8s_k8s
27,2023-01-07 17:18:16.525903,2023-01-07 17:18:20.847,4,4.2590,0.0421,4.3011,-0.3010999999999999,2_0.1_k8s_k8s
28,2023-01-07 17:18:22.374920,2023-01-07 17:18:26.697,4,4.2518,0.0550,4.3068,-0.30679999999999996,2_0.1_k8s_k8s
29,2023-01-07 17:18:24.360753,2023-01-07 17:18:29.907,5,5.4824,0.0535,5.5359,-0.5358999999999998,2_0.1_k8s_k8s
30,2023-01-07 17:18:25.403211,2023-01-07 17:18:29.968,4,4.5064,0.0474,4.5538,-0.5537999999999998,2_0.1_k8s_k8s
31,2023-01-07 17:18:26.390600,2023-01-07 17:18:33.428,7,6.9655,0.0385,7.004,-0.0039999999999995595,2_0.1_k8s_k8s
32,2023-01-07 17:18:29.810097,2023-01-07 17:18:36.064,6,4.6627,0.0397,4.7024,1.2976,2_0.1_k8s_k8s
33,2023-01-07 17:18:31.340983,2023-01-07 17:18:36.134,4,6.2572,0.0395,6.2967,-2.2967000000000004,2_0.1_k8s_k8s
